Configured with email username  None , password  False
_sa_instance_state, endtime, id, intensity, negativity, news_id, rating, rating2, starttime, time_spent, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9d9de20>","2021-07-28 13:55:27.482328","1","None","None","65","0.0","0.0","2021-07-28 13:55:27.482323","None","1",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9d9df40>","2021-07-29 06:49:08.592242","2","None","None","28","0.0","0.0","2021-07-29 06:49:08.592235","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd040>","2021-07-29 06:49:23.533912","3","None","None","1","0.0","0.0","2021-07-29 06:49:23.533884","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd100>","2021-07-29 08:05:55.130805","4","None","None","57","0.0","0.0","2021-07-29 08:05:55.130797","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd1f0>","2021-07-29 08:16:21.969329","5","None","None","68","0.0","0.0","2021-07-29 08:16:21.969322","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd2e0>","2021-07-29 08:16:48.981512","6","None","None","12","1.5","0.0","2021-07-29 08:16:43","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd3d0>","2021-07-29 09:31:46.843680","7","None","None","28","0.0","0.0","2021-07-29 09:31:46.843671","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd4c0>","2021-07-29 12:21:29.919032","8","None","None","49","0.0","0.0","2021-07-29 12:21:29.919024","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd5b0>","2021-07-29 15:00:08.130476","9","None","None","29","0.0","0.0","2021-07-29 15:00:08.130470","None","1",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd6a0>","2021-07-29 15:31:32.708149","10","None","None","46","3.0","0.0","2021-07-29 15:31:17","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd790>","2021-07-29 15:31:39.444284","11","None","None","32","0.0","0.0","2021-07-29 15:31:39.444277","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd880>","2021-08-02 06:25:51.429946","12","None","None","16","2.5","0.0","2021-08-02 06:25:45","None","None",
